Importing module 'gym_38' (/home/ubuntu/jrWork/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_38.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/ubuntu/jrWork/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 2.0.1
Device count 1
/home/ubuntu/jrWork/isaacgym/python/isaacgym/_bindings/src/gymtorch
ninja: no work to do.
[Warning] [carb.gym.plugin] useGpu is set, forcing single scene (0 subscenes)
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:0
GPU Pipeline: enabled
Setting seed: 2300
Loading low-level model from logs/low/2025-06-22-15-47-03/nn/model_10000.pth
[Target] R=5.46, theta=-0.49 rad, target=(4.82, -2.56)
[RewardDebug] dist=5.027, robot_speed=0.277, robot_align=0.908, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.217, robot_align=0.870, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.244, robot_align=0.983, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.103, robot_align=0.973, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.087, robot_align=0.000, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.252, robot_align=0.988, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.378, robot_align=0.976, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.320, robot_align=0.940, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.476, robot_align=0.499, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.411, robot_align=0.357, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.244, robot_align=0.051, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.218, robot_align=0.099, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.231, robot_align=0.414, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.232, robot_align=0.746, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.105, robot_align=0.883, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.141, robot_align=0.986, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.122, robot_align=0.997, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.044, robot_align=0.000, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.218, robot_align=0.001, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.203, robot_align=0.027, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.291, robot_align=0.062, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.027, robot_speed=0.328, robot_align=0.176, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
